algorithm,run,seed,point_index,f1,f2
MOABC,1,2228001041,1,1.0,0.0
MOABC,1,2228001041,2,0.0,1.0
MOABC,1,2228001041,3,0.4042463535559636,0.8365848904050283
MOABC,1,2228001041,4,0.042033460298616515,0.9982333764406908
MOABC,1,2228001041,5,0.651906590037864,0.5750231773770644
MOABC,1,2228001041,6,0.34032173731149884,0.8841811151132832
MOABC,1,2228001041,7,0.9649413210228273,0.06889167911130725
MOABC,1,2228001041,8,0.3266750685809816,0.8932833995676109
MOABC,1,2228001041,9,0.5360438716403657,0.7126978754978475
MOABC,1,2228001041,10,0.2879190051135509,0.917102653201408
MOABC,1,2228001041,11,0.9115344581177636,0.16910493166395513
MOABC,1,2228001041,12,0.9028827629910506,0.18491312044051378
MOABC,1,2228001041,13,0.06497517165234454,0.9957784157553854
MOABC,1,2228001041,14,0.7209546383304855,0.48022668392420625
MOABC,1,2228001041,15,0.7824017656707681,0.38784747707526446
MOABC,1,2228001041,16,0.6417942205616327,0.5881270805935322
MOABC,1,2228001041,17,0.35501026733503643,0.8739677103230837
MOABC,1,2228001041,18,0.8692330324388442,0.25235780001521546
MOABC,1,2228001041,19,0.23895780896996044,0.9429044436322113
MOABC,1,2228001041,20,0.5841527084812249,0.6607029666304615
MOABC,1,2228001041,21,0.9377543539251483,0.12167033534464701
MOABC,1,2228001041,22,0.48829926928431305,0.7615638278781263
MOABC,1,2228001041,23,0.7039543385361212,0.504448289256172
MOABC,1,2228001041,24,0.4410997113269937,0.8056013560080082
MOABC,1,2228001041,25,0.9730653040831371,0.05315216193910667
MOABC,1,2228001041,26,0.6022619499683106,0.6374035995320212
MOABC,1,2228001041,27,0.8515971052873761,0.27485699928832574
MOABC,1,2228001041,28,0.5952957764171567,0.6456229385798946
MOABC,1,2228001041,29,0.7121421687211915,0.49285353152907796
MOABC,1,2228001041,30,0.4204213352262002,0.8234858324505562
MOABC,1,2228001041,31,0.8280219639060786,0.3146105217797778
MOABC,1,2228001041,32,0.7309123462529457,0.4657810510767184
MOABC,1,2228001041,33,0.255557196260999,0.9347862593913046
MOABC,1,2228001041,34,0.9568574241388579,0.08443330827229972
MOABC,1,2228001041,35,0.9441335587283786,0.10861190700656843
MOABC,1,2228001041,36,0.5255423665976804,0.7238052210392194
MOABC,1,2228001041,37,0.6943769694227542,0.51785708686114
MOABC,1,2228001041,38,0.9292008909290018,0.1368024743438526
MOABC,1,2228001041,39,0.22694883307204067,0.9496703202223009
MOABC,1,2228001041,40,0.46086850936653045,0.7876005741127793
