algorithm,run,seed,point_index,f1,f2
MOABC,1,1121998699,1,1.0,0.0
MOABC,1,1121998699,2,0.0,1.0
MOABC,1,1121998699,3,0.007529982955245888,0.9132245256120954
MOABC,1,1121998699,4,0.022764147936085388,0.8491220760613094
MOABC,1,1121998699,5,0.03238966368932785,0.8200287144199779
MOABC,1,1121998699,6,0.4112348727811418,0.35872402759721167
MOABC,1,1121998699,7,0.43195985578620655,0.3427634704414388
MOABC,1,1121998699,8,0.06881347747742195,0.7391075426355099
MOABC,1,1121998699,9,0.7522783635449208,0.13266017989203283
MOABC,1,1121998699,10,0.1259992689984793,0.645036253478318
MOABC,1,1121998699,11,0.8701873844704696,0.06716165147949149
MOABC,1,1121998699,12,0.3364964738558664,0.41991683885082476
MOABC,1,1121998699,13,0.2634950487268528,0.486682354008704
MOABC,1,1121998699,14,0.9198215780249697,0.04092670873130366
MOABC,1,1121998699,15,0.8901056353852248,0.05654819112451385
MOABC,1,1121998699,16,0.44461310268693777,0.33320685164967556
MOABC,1,1121998699,17,0.9350704926973431,0.033009569490736135
MOABC,1,1121998699,18,0.14882549905229053,0.6142209193887924
MOABC,1,1121998699,19,0.016778686801788734,0.8704674441248897
MOABC,1,1121998699,20,0.2505366173266612,0.4994636703273362
MOABC,1,1121998699,21,0.7332589469356066,0.14371840995935262
MOABC,1,1121998699,22,0.7660576913471882,0.12475278272525303
MOABC,1,1121998699,23,0.05548295814222564,0.764801954493115
MOABC,1,1121998699,24,0.1769388161832844,0.5793590412438603
MOABC,1,1121998699,25,0.21178045131626544,0.5398039256028512
MOABC,1,1121998699,26,0.013404273628103106,0.884231191337338
MOABC,1,1121998699,27,0.27553870152623794,0.4750821954570049
MOABC,1,1121998699,28,0.2852188088172524,0.46603900535439985
MOABC,1,1121998699,29,0.3209632806812838,0.43346378698671645
MOABC,1,1121998699,30,0.3807437995723743,0.382955594127654
MOABC,1,1121998699,31,0.2969848227939117,0.4550368610686484
MOABC,1,1121998699,32,0.10313710852674618,0.6834641728611534
MOABC,1,1121998699,33,0.7911167450344798,0.11055345045522635
MOABC,1,1121998699,34,0.24133241086054336,0.50874404751952
MOABC,1,1121998699,35,0.16623796363425147,0.5922771001357987
MOABC,1,1121998699,36,0.18606724294170884,0.5686448760687908
MOABC,1,1121998699,37,0.047857690199100356,0.7812359942789939
MOABC,1,1121998699,38,0.13921561738795118,0.626883908966725
MOABC,1,1121998699,39,0.23062155324002703,0.5197692708290867
MOABC,1,1121998699,40,0.15891025965438238,0.6013645027667727
MOABC,1,1121998699,41,0.7800658040959828,0.11678665991959636
MOABC,1,1121998699,42,0.061704737713715874,0.7516030306907017
MOABC,1,1121998699,43,0.5408351760733732,0.2645850314158669
MOABC,1,1121998699,44,0.22196020115839882,0.5288734765458449
MOABC,1,1121998699,45,0.08091880953609822,0.7155376834666625
MOABC,1,1121998699,46,0.042146198533471235,0.8082394836158329
MOABC,1,1121998699,47,0.48587355670230675,0.3033022172963044
MOABC,1,1121998699,48,0.1106288570180809,0.6673908770767658
MOABC,1,1121998699,49,0.6816113410918911,0.17440243393533972
MOABC,1,1121998699,50,0.5750857734676242,0.24165590878611623
